INDEX,NAME,ADDRESS,PHONE_NUMBER,RATING,REVIEWS,PRICE,TYPE,OPERATING_HOURS,GOOGLE_MAPS_LINK,LATITUDE,LONGITUDE
11,Vidya Bharti English & Hindi School,"5R77+JF5, Bhatar Char Rasta, Ishtar Nagar, Bhatar, Athwa, Surat, Gujarat 395017, India",+91 261 223 0605,4.2,263,-,K-12 school,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJL99gjwVO4DsR5ms_rZj8LPk,21.164016999999998,72.8137373
12,Seven Steps Pre School,"Sentosa Enclave, beside Sai Darshan Society, near SMC Flower Garden, Royal Star Town ship, Sai Darshan Society, Dindoli, Surat, Gujarat 394210, India",+91 95123 36666,4.8,269,-,Educational institution,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJl-jmwpavuEYRwRiIL9N-xg4,21.1588061,72.875342
13,Bhagwan Mahavir International School,"BMEF Campus, VIP Road, Bharthana Road, Vesu, Surat, Gujarat 395007, India",+91 75758 05855,-,-,-,International school,Closes soon · 4:30 PM · Opens 7:30 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJ3_suj6FT4DsRBhSqTXagA_Y,21.1356735,72.7930463
14,Podar International School Surat (Jahangirabad) CBSE,"T.P 44, Ugat, Dandi Rd, Jahangirabad, Adajan, Surat, Gujarat 395005, India",+91 72270 23110,4.3,106,-,Education center,Closed · Opens 8 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJQ2f2grpN4DsR8cAn64s976U,21.232429399999997,72.7767598
15,S V Public School,"S V Public School Avdhut Dham Society, Dumbhal Rd, Dhaka Cir, Parvat Patiya, Surat, Gujarat 395010, India",+91 76006 67033,-,-,-,General education school,Closes soon · 5 PM · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJGekgTrBP4DsRNALq5RnQK6M,21.1864813,72.85982539999999
16,AM/NS International School,"4MJ3+CX3, 27 KM, Hazira, Gujarat 394270, India",+91 261 287 4074,4.4,248,-,School,Closes soon · 4:30 PM · Opens 7:30 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJz-gwlYat4TsRE3pmKw6zZOQ,21.131006199999998,72.6549077
17,"SDJ International School - Gujarat Board, Surat","SDJ International College Campus, B/h, Someshwara Enclave, Vesu, Surat, Gujarat 395007, India",+91 63518 18309,4.9,48,-,School center,Closed · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJ5b-PMwpT4DsRhDixDLi9KOQ,21.147489999999998,72.778401
18,Shree Gurukrupaa Vidhya Sankul,"H 2, 65/2 B, beside Monarch Workshop, Udhana Gam, Gayatri Society, Udhana Village, Udhana, Surat, Gujarat 394210, India",+91 79 6907 1111,-,-,-,CBSE school,Open · Closes 6 PM,https://www.google.com/maps/place/?q=place_id:ChIJG_3bSTtO4DsReDYdL0WJ9p8,21.1662812,72.8352914
19,vv high schools,"Room no 21 ,1st Floor, High School Building , VIOS Vanita Vishram, Surat, Gujarat 395001, India",+91 63512 66608,4.6,81,-,Education center,Closed · Opens 1 PM Tue,https://www.google.com/maps/place/?q=place_id:ChIJ_XtjN4pP4DsRQTd2_M-TnLQ,21.1821306,72.8118104
20,Ideal Public School,"Plot No. 2175-2181 Om Nagar Society, Kharvasa - Dindoli Rd, Udhana, Dindoli, Surat, Gujarat 394210, India",+91 95741 36551,5,14,-,Educational institution,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJH-KuEBhQ4DsR-AfFaJfi4WU,21.1476507,72.87624939999999
21,P. P. Savani Cambridge International School,"Mota Varachcha-Abrahma Road, Kamrej Highway, Surat, Gujarat 394150, India",+91 99099 91034,-,-,-,International school,Closes soon · 4:30 PM · Opens 8:30 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJmSXuVwFG4DsRL1R-sChBY7M,21.2594,72.9035494
22,Canopus International School,"complex, Besides, 64/c, opp. Silver Point, Atop Nagar Society, Bhatar, Athwa, Surat, Gujarat 395017, India",+91 97262 75412,4.9,28,-,Nursery school,Closed · Opens 9 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJT8eF-A5O4DsR0jLwS5WcfG0,21.1644144,72.8134886
23,White Lotus International School,"205A, VIP Rd, behind Someshwara Plot, Someshwara Enclave, Vesu, Surat, Gujarat 395007, India",+91 80000 04441,-,-,-,International school,Closed · Opens 8 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJ2WnMqwpS4DsR7rj_J60H4SQ,21.1457087,72.7808307
24,Tapti Valley International School,"Block No. 456-457, Rander-Dandi Road Village Narthan, Taluka, Olpad, Gujarat 395005, India",+91 2621 353 535,-,-,-,International school,Closes soon · 4:45 PM · Opens 7:45 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJrWVwvDBL4DsROuMQWTmTsZo,21.271063299999998,72.71733449999999
25,Galaxy Army International School,"609-611, Karmayogi Society 2, Gujarat Housing Board, Sai Baba Society, Pandesara, Udhana, Surat, Gujarat 394210, India",+91 93751 46579,-,-,-,International school,Closes soon · 5 PM · Opens 7:30 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJtc6dvd1R4DsRr_kYRL8reC0,21.1518199,72.8298141
26,Apex International School,"11/12,Kuber nagar Society Behind Ishwarkrupa society, Lambe Hanuman Rd, Surat, Gujarat 395010, India",+91 98794 00565,-,-,-,General education school,Open · Closes 6 PM,https://www.google.com/maps/place/?q=place_id:ChIJgf3NCqpP4DsR8ARgjagLX_A,21.2022865,72.8559731
27,Aspire Public School,"Aspire Rd, Mota Varachha, Surat, Gujarat 394105, India",+91 78787 97772,-,-,-,Public educational institution,Closes soon · 5 PM · Opens 8 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJ9TuzAElP4DsRJGFwmszhE4w,21.245968899999998,72.8702046
28,Tulip Fun School,"Row House No: 3, Sai Rachna Row House, L.P. Savani Road, opp. Western Heights, opp. Riverdale School, Pal, Adajan, Surat, Gujarat 395009, India",+91 98980 75554,4.9,115,-,Preschool,Closed · Opens 8:30 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJNfnrgTVM4DsR9JvLwplM4XU,21.1955183,72.7815079
29,S. D. Jain Modern School,"Udhana - Magdalla Road nr. Vesu Char Rasta Opp Bank Of India, Western Business Park, Surat, Gujarat 395007, India",+91 261 353 0300,-,-,-,Combined primary and secondary school,Closed · Opens 7:30 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJU1qRsAdO4DsR8XMtaLZmYHg,21.151606299999997,72.7722704
30,Sunrays School,"Plot No 1 to 5, opp. BRC Gate, Udhana, Surat, Gujarat 394210, India",+91 96244 99911,-,-,-,General education school,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJfy4b7DpO4DsR6WDs3ggFRhI,21.153799,72.84473849999999
31,Silver Oak International,"5RMJ+GGR, Udhna darwaja , ring road, Mufaddal Tower, Jay Prakash Narayan Marg, Ring Road, Near Dhameliya Ki Dental Hospital, Udhana Darwaja, Surat, Gujarat 395002, India",+91 90335 52153,4.9,63,-,Preschool,Closed · Opens 9 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJUY8qHRlP4DsRkmMmCfUySP0,21.1839056,72.83123909999999
32,Mariya English School,"12 shiv shakti society, mother ayesha school, Bhatena Road Udhana GIDC, Hari Ichchha Industrial Society, Udhna Udhyog Nagar, Aman Society, Udhana, Surat, Gujarat 394210, India",+91 93594 81314,4.7,29,-,English language school,Closes soon · 5 PM · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJLbXZHDdO4DsRg7lg05X42Rg,21.1755405,72.8435171
33,Symga High School,"Garden Colony, Sagrampura, Surat, Gujarat 395002, India",+91 98791 85878,-,-,-,High school,Open · Closes 6 PM,https://www.google.com/maps/place/?q=place_id:ChIJ3ylbFWlO4DsR5z_Ac-2QS5Y,21.1863735,72.8205605
34,Samiti Gujarati Medium School,"5R8P+W3R, behind Postal Society, Udhana Village, Udhana, Surat, Gujarat 394210, India",+91 261 275 8148,-,-,-,Secondary school,Open · Closes 6 PM,https://www.google.com/maps/place/?q=place_id:ChIJa8mHjC1O4DsRLlkUvRKUOjU,21.167745099999998,72.8347458
35,T.M. Patel International School,"TP, Scheme No. 1 Plot No. FC 188, Ratnasagar Society, Vasundhara Society, Vesu, Surat, Gujarat 395007, India",+91 80009 45566,-,-,-,CBSE school,Closed · Opens 8 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJzcHJMndS4DsRDmc4llAofV4,21.1564874,72.7726079
36,Joyous English School,"Joyous English School, behind yash plaza Complex, Varachha Main Rd, opp. Rajhans point, Surat, Gujarat 395006, India",+91 261 255 4363,-,-,-,Higher secondary school,Open · Closes 6 PM,https://www.google.com/maps/place/?q=place_id:ChIJ9ZqDAfxO4DsRdIybKOvUZpE,21.207392,72.84597699999999
37,St.Mark's High School,"5QXR+23G, Gangeshwar Mahadev Temple Rd, Adajan Gam, Adajan, Surat, Gujarat 395009, India",+91 261 273 2749,-,-,-,High school,Open · Closes 6 PM,https://www.google.com/maps/place/?q=place_id:ChIJAQAA1cxN4DsRGuMFVDdbzKU,21.196826599999998,72.7894134
38,Mount Mary Mission Secondary School,"Mount Mary Mission Higher Secondary School Opp Limbayat Police Station Mahaprabhu nagar,Limbayat, Udhana, Surat, Gujarat 395012, India",+91 84602 57177,-,-,-,Higher secondary school,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJC4jtXclP4DsRqSn6WRWEjWA,21.175286099999997,72.857992
39,Samrat International School,"BRTS, Vesu Canal Rd, near by Dhaka Circle, Akshar Town Ship, Parvat Patiya, Surat, Gujarat 395010, India",+91 63518 88176,-,-,-,Private educational institution,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJjZ1UZLFP4DsRdHix0XVXM8E,21.187261799999998,72.8576319
40,Podar International School Surat (Simada) (CBSE),"Simada, Near Police Choki, Puna Kumbhariya, Vesu Canal Rd, Surat, Gujarat 395005, India",+91 63664 37969,3.3,3,-,Education center,Closed · Opens 7:45 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJSdVmfNFN4DsRafpMI56T59M,21.2134462,72.79691629999999
41,Samrat International School,"BRTS, Vesu Canal Rd, near by Dhaka Circle, Akshar Town Ship, Parvat Patiya, Surat, Gujarat 395010, India",+91 63518 88176,-,-,-,Private educational institution,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJjZ1UZLFP4DsRdHix0XVXM8E,21.187261799999998,72.8576319
42,Podar International School Surat (Simada) (CBSE),"Simada, Near Police Choki, Puna Kumbhariya, Vesu Canal Rd, Surat, Gujarat 395005, India",+91 63664 37969,3.3,3,-,Education center,Closed · Opens 7:45 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJSdVmfNFN4DsRafpMI56T59M,21.2134462,72.79691629999999
43,Hills Nursery,"Dehla Street Haijrat Akbar Sahib, Road, Surat, Gujarat 395002, India",+91 90330 42477,4.8,293,-,Kindergarten,-,https://www.google.com/maps/place/?q=place_id:ChIJr_c8H0NO4DsRJRtZHuKzCeM,21.186791,72.831194
44,Oxford English Higher Secondary School,"Plot no 7, 8-14, Om Sai Nagar,, Bh. Harinagar-2, Udhna, beside Udhna, Om Sai Sagar, Udhana, Surat, Gujarat 394210, India",+91 99250 77721,-,-,-,Secondary school,Open · Closes 6 PM,https://www.google.com/maps/place/?q=place_id:ChIJP-4rXSZO4DsRWv_yPFIgQBo,21.1585309,72.8374749
45,Sanskarkunj Gyanpith,"425, Sanskarkunj ,near shanti Asiatic school, NARTHAN ,Dandi road, OLPAD , surat, Surat, Gujarat 395005, India",+91 98981 80989,4.5,165,-,Education center,Closes soon · 5 PM · Opens 9 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJ13sJRjpL4DsRzHYoPmF4j5E,21.2651607,72.7237731
46,Gajera International School,"6VMF+C7J, Mota Varachha Main Rd, Near, Utran, Surat, Gujarat 394105, India",+91 88667 00061,-,-,-,General education school,Open · Closes 9 PM,https://www.google.com/maps/place/?q=place_id:ChIJc8mY2jhP4DsRxh95YrF2ohc,21.2338867,72.8723
47,New Model High School,"Behind Dhruv Motors, Near Ashirwad Park Bhathena, 2, Udhana, Surat, Gujarat 394210, India",+91 261 235 3901,-,-,-,High school,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJaWqo8EdO4DsRldyAo7qbNM4,21.178111299999998,72.83903169999999
48,Little Champ Nursery School,"Apt, Nandanvan, 11 Pratik, Vesu, Surat, Gujarat 395007, India",+91 96385 78903,5,349,-,Kindergarten,Open · Closes 8 PM,https://www.google.com/maps/place/?q=place_id:ChIJa2Hz3yhT4DsR5cJbFXIHHXE,21.1471153,72.7826736
49,Shardayatan Science School (Brilliant English School),"5VGC+85G, Limbayat Rd, Godadara Naher, Umianagar Society, Pursottam nagar, Limbayat, Parvat Gam, Surat, Gujarat 395012, India",+91 261 252 8409,3.8,88,-,Educational institution,Open · Closes 6 PM,https://www.google.com/maps/place/?q=place_id:ChIJu2O3XMFP4DsRVTmVHSv-lB0,21.1758168,72.8704566
50,St. Xavier's High School,"5RG5+3X9, Ghod Dod Rd, Miranagar Society, Athwa, Surat, Gujarat 395001, India",+91 261 265 3749,-,-,-,Higher secondary school,Closed · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJx3pEqXRO4DsR9tE0IKua8-A,21.1751699,72.80997169999999
51,Hills Nursery,"Plot no 28 behind DGVCL, Bharthana lane, VIP Rd, Surat, Gujarat 395007, India",+91 98258 59677,4.8,301,-,Educational institution,-,https://www.google.com/maps/place/?q=place_id:ChIJiWHb1x1T4DsRUf5EV-JQVx8,21.145291699999998,72.794986
52,"Fountainhead School, Kunkni","Opp. Ambetha Water Tank, Kunkni Gam, Rander-Dandi Road, Olpad, Surat, Gujarat 395005, India",+91 80001 30031,-,-,-,International school,Closed · Opens 7:45 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJz_KfOHlL4DsReF_nffV4j7g,21.2455605,72.7542208
53,M.U.S. Secondary and Higher Secondary English Medium School,"M/4, Sumul Dairy Rd, Shanti Niketan Society, Patel Nagar, Surat, Gujarat 395008, India",+91 96620 26782,-,-,-,High school,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJu8oa5-VO4DsRyd8AyM38qic,21.213288499999997,72.8373663
54,Surat Valley Public School - Best School in Bamroli Surat /Best Pre-Primary school & Primary school / English Medium School,"Plot No-112-A- B-C, Shantiniketan Society, Beside Sai Krupa Society, behind Shrungal Residency, Bamroli, Surat, Gujarat 394210, India",+91 63512 07230,4.1,29,-,Educational institution,Closed · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJTzmVnuNR4DsR0SbP1A1hjqY,21.146271499999997,72.819977
55,Delhi Public School,"Surat - Dumas Road Near Airport, Gaviyer, Surat, Gujarat 394550, India",+91 261 220 4500,-,-,-,CBSE school,Closed · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJCW_TN2dT4DsRk-Nh-uSch70,21.1229585,72.72424409999999
56,Sky international School,"478, 479, Balaji Nagar, Pandesara, Udhana, Surat, Gujarat 394210, India",-,-,-,-,General education school,Closes soon · 5 PM · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJ5dYcDsFR4DsRiCtF1WF9uLE,21.1482214,72.8166554
57,Rose Buds FOUNDATION School,"Harri Bhavan , Opp. Sub Jail, Ring Rd, near ICIC bank, Surat, Gujarat 395002, India",+91 98241 96936,4.7,32,-,Preschool,Closed · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJqSvYG0JO4DsRIarTe7Ys9U0,21.1823516,72.827758
58,Jeevan Vikas High School,"Ramnagar - 2, Sonal Industries Road, Opposite, Sai Samarpan Society, Udhana, Surat, Gujarat 394210, India",+91 261 227 0583,-,-,-,High school,Open · Closes 6 PM,https://www.google.com/maps/place/?q=place_id:ChIJNcT60iZO4DsRLRkD1NYKdmM,21.157539099999997,72.83396549999999
59,Gajera Vidyabhavan,"Plot No. 819, opp. Ratnamala Complex, New GIDC, Katargam, Surat, Gujarat 395004, India",+91 261 248 4817,-,-,-,CBSE school,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJAXbw-mNP4DsRsPE7BWZozqU,21.2322797,72.8382766
60,𝐌𝐚𝐭𝐫𝐮𝐛𝐡𝐮𝐦𝐢 𝐕𝐢𝐝𝐲𝐚 𝐒𝐚𝐧𝐤𝐮𝐥 - Best School/Sen Secondary School/Primary School/Playgroup School,"Maharana Pratap Relve Over brige, Mahadev Nagar 3, Dindoli, Surat, Gujarat 394210, India",+91 99257 07818,-,-,-,Secondary school,Open · Closes 6:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJb-OPhv9R4DsRBDGnLOMNp8c,21.1579138,72.8715443
61,Ashadeep International School,"Yogichowk to Puna Road Nr. Puna Saroli BRTS Junction, Punagam Road, Punagam Parmukhpark Society, Varachha, Surat, Gujarat 395011, India",+91 98252 55533,-,-,-,International school,Closes soon · 5 PM · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJY2aABrdP4DsRUOkBnp5ClxI,21.205323699999997,72.88288039999999
62,𝐌𝐚𝐭𝐫𝐮𝐛𝐡𝐮𝐦𝐢 𝐕𝐢𝐝𝐲𝐚 𝐒𝐚𝐧𝐤𝐮𝐥 - Best School/Sen Secondary School/Primary School/Playgroup School,"Maharana Pratap Relve Over brige, Mahadev Nagar 3, Dindoli, Surat, Gujarat 394210, India",+91 99257 07818,-,-,-,Secondary school,Open · Closes 6:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJb-OPhv9R4DsRBDGnLOMNp8c,21.1579138,72.8715443
63,Samithi English Medium School,"behind Postal Society, Postal Society, Udhana Village, Udhana, Surat, Gujarat 394210, India",+91 261 228 1434,-,-,-,CBSE school,Closed · Opens 8 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJAxAjmTtO4DsRkw4kwMhoIsY,21.1682772,72.8348585
64,Happy Valley International School,"Happy Valley Rd, near Sumukh Circle, Dindoli, Surat, Gujarat 394210, India",+91 70697 06470,-,-,-,Primary school,Closes soon · 5 PM · Opens 8 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJM3jU_dRR4DsR8Yb-Pt79FCs,21.145308399999998,72.8659261
65,Ryan International School,"Behind Dumas Resort Rundh Magdalla Village Taluka Choryasi, Dumas Rd, Dumas, Gujarat 395007, India",+91 90330 06490,-,-,-,CBSE school,Closed · Opens 8 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJMbwfuXJN4DsRsPCNRIxTjFU,21.1494104,72.7571588
66,Gajera Global School,"Suda Awas, T.P 10, Road, near Shaleen Enclave, Pal Gam, Surat, Gujarat 394510, India",+91 84605 22223,-,-,-,CBSE school,Closed · Opens 8 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJJRbFeU5M4DsRsmfi-PKBATo,21.1996349,72.7694808
67,L. P. Savani Academy,"Vesu Canal Rd, Vesu, Surat, Gujarat 395007, India",+91 261 297 2626,-,-,-,CBSE school,Closes soon · 5 PM · Opens 7:30 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJNe1bfwtS4DsR-t21NilEmDs,21.143212899999998,72.7833589
68,M.T.Jariwala High School,"5RP4+GWH, River Front Walkway, Chopati, Athwa Gate, Surat, Gujarat 395001, India",+91 261 246 1563,-,-,-,Government school,Open · Closes 6 PM,https://www.google.com/maps/place/?q=place_id:ChIJ82NG69hN4DsRWCWgLm_7GBo,21.1863138,72.8073727
69,Bhulka Vihar School,"Block No.624, Hazira Rd, near pal haveli, Bhatha, Surat, Gujarat 394510, India",+91 89800 08283,-,-,-,General education school,Closed · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJ7wO2V7pN4DsR6T3_HQCfUlo,21.1800593,72.77208329999999
70,Shree Jalaram International School ( SJIS School Surat ),"6Q59+PX2, Opp Sai Milan Residency, Gaurav Path Road, Palanpur, Surat, Gujarat 395009, India",+91 90814 20007,-,-,-,CBSE school,-,https://www.google.com/maps/place/?q=place_id:ChIJ69dJ7sNN4DsRxcvHTXRi7Qc,21.2108974,72.7697972
71,Divine Child High School,"Karimabad Society, 77/B, Ghod Dod Rd, near Ram Chowk, beside Krupa Hospital, Ram Chowk, Subhash Nagar, Athwa, Surat, Gujarat 395001, India",+91 261 223 1660,-,-,-,CBSE school,Closed · Opens 8:30 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJo5lj0AxO4DsRUH743WFeoz4,21.1746433,72.8124931
72,Shri Swaminarayan Mission,"Surat - Kamrej Road Laskana Valak, Valak Patiya, Surat, Gujarat 395013, India",+91 93777 30616,-,-,-,Religious school,-,https://www.google.com/maps/place/?q=place_id:ChIJ03PIUehF4DsRMW70cZqrxGg,21.241189,72.92033769999999
73,Bhakti International School,"Gadhpur Road, At, Kathodara, Surat, Gujarat 394185, India",+91 95101 98000,-,-,-,General education school,Closes soon · 5 PM · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJR9Zb-U1E4DsRv6zH4eWg9QQ,21.2241924,72.9518697
74,St. Don Bosco Public School,"1B,2B,3B, Umiya Nagar Shopping Centre, Godadara Rd, near Hanuman Temple, Godadara Naher, Umianagar Society, Pursottam nagar, Godadara, Surat, Gujarat 395012, India",+91 81418 61421,-,-,-,Public educational institution,Closed · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJS1CIrcZP4DsR-9ZvINBEVnQ,21.1756052,72.8687865
75,Archana Vidhya Bhavan,"Ishwarkrupa Rd, Kuber Nagar Society, Society-1, Trikamnagar-1, Varachha, Surat, Gujarat 395010, India",+91 88668 09010,-,-,-,General education school,Closes soon · 5 PM · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJjTusf6pP4DsRaPqVZAvTyh8,21.202287,72.8546317
76,"Little Millennium Preschool - Parle Point, Surat","No 2, Parle Point, nearby Marriott Hotel, Bharti Park Society, Athwalines, Athwa, Surat, Gujarat 395007, India",+91 98250 10076,4.9,154,-,Preschool,Closed · Opens 8 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJifB8IcNN4DsRR5DgSFoE8BA,21.176034599999998,72.7909943
77,Radiant English Academy,"65, Gymkhana Rd, near Reliance Tower, Piplod, Surat, Gujarat 395007, India",+91 261 272 1730,-,-,-,CBSE school,Closes soon · 5 PM · Opens 9 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJlfPQSJFN4DsRq4MEICxV0RI,21.1645319,72.77354509999999
78,Atmiya Vidya Mandir,"Kamrej Shampura Road, Koli Bharthana, Kamrej, Gujarat 394180, India",+91 98253 21226,-,-,-,General education school,Closes soon · 5 PM · Opens 10 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJ____A1lB4DsRfFawZNzgzak,21.2664752,73.008973
79,Shantiniketan Ideal Academy English Medium High School,"Harihar Nagar, Navagam, Surat, Gujarat 394210, India",+91 261 275 8597,-,-,-,High school,Open · Closes 5:30 PM,https://www.google.com/maps/place/?q=place_id:ChIJ4btKHChQ4DsRH3VQv-Vl0Pk,21.1568419,72.86235239999999
80,CuCuClay Playschool,"59A, Nandanvan Society, Next to Meghdhanush Complex Sarela Wadi, Ghod Dod Rd, Surat, Gujarat 395001, India",+91 79906 00440,5,94,-,Preschool,Closed · Opens 9:30 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJr4JbUTtP4DsRESGST70gUsQ,21.171139999999998,72.808114
81,Gaurav Hindi School / Gurukripa English Med. School.,"69-73, Bamroli Rd, Gangotri Nagar, Nem Nagar, Pandesara, Udhana, Surat, Gujarat 394210, India",+91 88665 59728,4.6,31,-,Educational institution,Closes soon · 5 PM · Opens 7 AM Tue,https://www.google.com/maps/place/?q=place_id:ChIJIz1EveBR4DsRunEruqL2MXk,21.14892,72.82714299999999
